addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
강원특별자치도 양양군 현남면 남애리,,32,,A01,A0101,A01011200,2916001,12,2.02E+13,174758.4354,http://tong.visitkorea.or.kr/cms/resource/96/2915996_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/2915996_image3_1.JPG,Type3,128.7786271,37.94005568,6,2.02E+13,7,,남애1리해수욕장
강원특별자치도 양양군 현남면 매바위길 167,,32,,A01,A0101,A01011200,2913902,12,2.02E+13,175565.9294,http://tong.visitkorea.or.kr/cms/resource/09/1584009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/1584009_image3_1.jpg,Type3,128.7845708,37.94570792,6,2.02E+13,7,,남애3리해수욕장
강원특별자치도 양양군 현남면 매바위길 127,(현남면),32,0,A02,A0203,A02030100,128562,12,2.01E+13,175526.4108,http://tong.visitkorea.or.kr/cms/resource/65/3071565_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/3071565_image3_1.jpg,Type3,128.7861179,37.9445803,6,2.02E+13,7,,남애어촌체험마을
강원특별자치도 양양군 현남면 매바위길 138,,32,0,A01,A0101,A01011400,126738,12,2.00E+13,175608.1539,http://tong.visitkorea.or.kr/cms/resource/15/2746915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2746915_image3_1.jpg,Type3,128.7871623,37.94494694,6,2.02E+13,7,,남애항
강원특별자치도 양양군 현남면 매바위길 138,,32,,A02,A0205,A02050600,2913903,12,2.02E+13,175612.3183,http://tong.visitkorea.or.kr/cms/resource/50/2922150_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2922150_image3_1.jpg,Type3,128.7868845,37.94511914,6,2.02E+13,7,,남애항 스카이워크 전망대
경기도 화성시 남양읍 남양성지로 112,,31,0,A02,A0201,A02010900,126709,12,2.00E+13,111660.5599,http://tong.visitkorea.or.kr/cms/resource/07/2480807_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2480807_image2_1.jpg,Type3,126.8167597,37.20496276,6,2.02E+13,31,,남양성모성지
경기도 남양주시 진접읍 광릉수목원로 354,(진접읍),31,0,A02,A0201,A02010700,125546,12,2.00E+13,141789.7337,,,,127.1767421,37.75283338,6,2.02E+13,9,,"남양주 광릉(세조,정희왕후) [유네스코 세계유산]"
경기도 남양주시 와부읍 팔당로 163,,31,0,A02,A0201,A02010700,976598,12,2.01E+13,118015.8777,http://tong.visitkorea.or.kr/cms/resource/35/3404735_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/3404735_image3_1.JPG,Type3,127.2487915,37.54431448,6,2.02E+13,9,,남양주 구 팔당역
경기도 남양주시 진건읍 사릉로 180,,31,0,A02,A0201,A02010700,250408,12,2.01E+13,130164.476,,,,127.1973099,37.64578232,6,2.02E+13,9,,남양주 사릉(정순왕후) [유네스코 세계유산]
경기도 남양주시 홍유릉로 352-1,,31,0,A02,A0201,A02010700,125548,12,2.00E+13,128276.067,http://tong.visitkorea.or.kr/cms/resource/20/2005620_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2005620_image3_1.jpg,Type3,127.2096231,37.63155642,6,2.02E+13,9,,"남양주 홍릉(고종과 명성황후)과 유릉(순종과 순명,순정 황후) [[유네스코 세계유산]]"
경기도 남양주시 와부읍 덕소로2번길 15,,31,0,A02,A0202,A02020700,2733839,12,2.02E+13,124193.3924,,,,127.2047303,37.58933068,6,2.02E+13,9,,남양주한강변시민공원
경기도 남양주시 강변북로632번길 41-9,(수석동),31,0,A02,A0202,A02020700,2735280,12,2.02E+13,125116.2742,,,,127.1736221,37.5865721,6,2.02E+13,9,,남양주한강체육공원(남양주 수석동 체육공원)
경기도 화성시 남양읍 남양리,,31,,A02,A0202,A02020700,3017605,12,2.02E+13,111342.7752,http://tong.visitkorea.or.kr/cms/resource/02/3004302_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3004302_image3_1.jpg,Type3,126.826467,37.21002623,6,2.02E+13,31,,남양체육공원
경기도 화성시 남양읍 글판동길15번길 18-3,,31,0,A02,A0201,A02010700,736678,12,2.01E+13,112783.5374,http://tong.visitkorea.or.kr/cms/resource/83/3393183_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/3393183_image3_1.JPG,Type3,126.7998141,37.20413755,6,2.02E+13,31,,남양향교
경기도 화성시 장안면,수촌리~우정읍 이화리,31,0,A01,A0101,A01011700,126707,12,2.00E+13,99947.9364,http://tong.visitkorea.or.kr/cms/resource/39/3031639_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/39/3031639_image3_1.JPG,Type3,126.8157345,37.01548188,6,2.02E+13,31,,남양호(남양황라)
충청남도 예산군 덕산면 상가리,,34,0,A02,A0201,A02010700,125937,12,2.00E+13,105506.4193,http://tong.visitkorea.or.kr/cms/resource/84/3055984_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3055984_image3_1.jpg,Type3,126.6236266,36.71856556,6,2.02E+13,11,,남연군의 묘
